,video_id,comment,likes,replies,username
0,mYCXmqEdevo,"What&#39;s good <a href=""http://www.youtube.com/results?search_query=%23gustonnation"">#GustonNation</a> -- we now have a SEQUEL to this ICONIC Foods Film 👉🏼 <a href=""https://www.youtube.com/watch?v=Wk9vcxLwzaw"">https://www.youtube.com/watch?v=Wk9vcxLwzaw</a>",5,0,Luis Gusto
1,mYCXmqEdevo,"As a born &amp; raised Chicagoan for over 70 years, I would like to offer kudos on your review of iconic Chicago food places. I&#39;ve eaten all the foods mentioned and have my own favorites,  but you did a wonderful job of identifying many of the foods Chicagoans really enjoy. Your passion for the windy city comes through on your videos, keep up the great job!",135,1,Bruno D
2,mYCXmqEdevo,"As a native of the windy city, You can never go wrong with Chicago Mexican food and the Italian beef. Would definitely love to see a pt. 2!",36,0,Hueso
3,mYCXmqEdevo,"I love that you guys mentioned that we chicagoans eat tavern style more often. Every time I go somewhere, people say that deep dish is too think etc. And praise NYC pizza, but I’m like honestly we don’t eat that too often. The tavern thin crust is our favorite. Deep dish is just a comercialized staple to be different and rival NYC.",51,0,Gen Wilson
4,mYCXmqEdevo,As a lifelong Chicagoan.  This list is absolutely on point.  It&#39;s a prefect run down of all the places we love.,27,1,Beau Artson
5,mYCXmqEdevo,"So glad you called out Tavern style as the &quot;Daily Driver Pizza&quot; of Chicagoans. As a style, it has not gotten the love it deserves. Side note: if you are getting a deep dish/stuffed pizza, combine some genres. Top it with Italian beef and Hot Peppers. It&#39;s basically a beef inside of a deep dish. Underrated approach.",38,1,Timothy Soen
6,mYCXmqEdevo,"As a native Chicagoan, I stumbled upon your videos recently. I am so impressed with your knowledge of the city. You’re a good resource.",16,0,bigmusclebeef
7,mYCXmqEdevo,"Great piece. Would love to see part 2. Mother-in-law, Rainbow cone, Italian lemonade, shrimp dejhonge, saganaki, etc. BTW, everyone I know believes that the meat topping of choice on a pizza is always sausage, not pepperoni.",24,1,Robert Kumaki
8,mYCXmqEdevo,"I wanted to say thank you for all your videos. I&#39;m a Chicagoan, but I&#39;m embarrassed to say I don&#39;t know much when it comes to eating out. I don&#39;t make much money so I cook more at home. I&#39;m definitely trying out these places in the future! Thanks again!",30,2,NtateNarin
9,mYCXmqEdevo,"Hi Luis, you DEFINITELY hit the top 10 foods!!!!! You can&#39;t beat  Chicago foods!<br><br>We need a part II",8,0,Bootsy4Real
10,mYCXmqEdevo,"Hey Luis, I really appreciate your videos.  My wife and I just took a long weekend to Chicago (four nights) and I probably watched a dozen of your videos beforehand and definitely got some help.  From using public transportation easier to enjoying some local restaurants, you helped us get a lot more out of our vacation.  We stayed in an Air B&amp;B in Little Italy and we went to Conte di Sovia, Jim’s Original, Ann Sather, Little Branch Cafe, and Mr. Beef - all of which we would not have known about if not for your videos.  Thanks for the solid information and recommendations!",1,0,John Landeck
11,mYCXmqEdevo,You need to include the porkchop sandwich from Jim&#39;s Original as well! It&#39;s so unique to eat a porkchop with the bone between two buns.,9,0,Dantee Arias
12,mYCXmqEdevo,"Hey Luis!!! Just left Chicago yesterday and followed some of your food tips and went to Budlongs and Burger Bar. I absolutely love your city, cant wait to return. Be safe and keep up the amazing work brother 💪❤️",32,1,TransitFanHaven
13,mYCXmqEdevo,"I&#39;ve lived in Chicago my whole life and agree with this. Tavern style pizza is the best. I&#39;ve had all of these foods except the cinnamon rolls, I will have to try those. I just had a bag of Garrets popcorn and couple of days ago. You forgot Polish Pierogies, Elis Cheesecake and Portillos. Gyros are also a Chicago staple.",6,0,Patricia Krakowiak
14,mYCXmqEdevo,You defiantly forgot the Ricobene’s famous Breaded steak sandwich ! Since 1946 . Garrets could be classified as a snack not a event like the others .great video,9,0,Rob O
15,mYCXmqEdevo,"We definitely need a part 2. I try to tell folks. We indulge Deep Dish occasionally &amp; much prefer thin-crust Tavern style.<br> I&#39;m recommending Leon&#39;s B-BQ, Top Notch for burgers. Then slide over to Rainbow for ice cream. White Palace for Brunch.  Chinatown for Chinese &amp; Roeser&#39;s for baked goods.<br>Good stuff bro👍🏿",13,4,Gee Davia
16,mYCXmqEdevo,The jibarito is such a good sandwich. I personally like it the best with lechón (roast pork). But it’s great with any type of meat.,3,0,Incuensuocha
17,mYCXmqEdevo,"You nailed it, especially with Vito and Nick&#39;s. That is the kind of tavern style pie that Chicagoans prefer.",20,0,david straub
18,mYCXmqEdevo,"Born &amp; raised in Chicago, now living in The Philippines.  The only thing I miss about home is the food.",0,0,Tank2016
19,mYCXmqEdevo,Props to you guys for visiting all those spots in the same day. Keep it up with the great content!,0,0,Weilin Wu
20,mYCXmqEdevo,Chicago deserves the crown for many of their different foods!💖👏👍🥂🍾🍽👑,2,0,Michelle Marano
21,mYCXmqEdevo,I am originally from Pilsen and the best pizza I ever had was from a restaurant that used to be on 18th and Ashland called DV&#39;s pizza!  It was amazing!,1,0,Carol Mirelez
22,mYCXmqEdevo,We need part two! Love Chicago…,2,0,carableu
23,mYCXmqEdevo,I&#39;m a Chicagoan and he really knows what he&#39;s talking about. Thanks you for mentioning Harold&#39;s Chicken,0,1,marcullus G
24,mYCXmqEdevo,Thank goodness I’m going to Chicago this year cause the food looks delicious 🤤,0,0,Lil Red
25,mYCXmqEdevo,"Just came back from Chicago last week. Thank you for your helpful videos! Yes, please do a part 2 and 3 if need be lol 😂",4,0,Cristina Zo
26,mYCXmqEdevo,🔥🔥🔥 We definitely need a part 2,0,0,Fast Money Sunny
27,mYCXmqEdevo,Greetings from Phoenix Arizona. Second home to all Chicagoans. Thank you for the cultural education of all things Chi-Town. I&#39;ve never been to Illinois would love to visit there someday,1,0,Aubrey Aragon
28,mYCXmqEdevo,"yeah the food in Chicago is great! we love the deep dish pizza, Italian beef sandwiches, hot dogs, and the Chicago-style hamburgers there, it&#39;s so good and delicious! 😍🙂👌",0,0,dvd cd man
29,mYCXmqEdevo,You’re the only person that actually gave the Chicago food experience.,0,0,Steady Steppin
30,mYCXmqEdevo,Finally someone did Chicago food justice,8,1,CHINUXXL SINGH
