,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
0,mYCXmqEdevo,Top 10 Iconic Chicago Foods You MUST Try Before You DIE,Luis Gusto,39900,226444,5797,340
1,OkSXxuooRNE,Iconic Chicago Foods - The BEST Foods to Try,Travel OOO,1820,3283,41,16
2,cpvp7c3ipUQ,The Best Chicago Eats Marathon,Insider Food,4610000,2293555,20172,625
3,6ZmmLmzeAjQ,6 MUST EAT Chicago Foods! | Jeremy Jacobowitz,Jeremy Jacobowitz,13700,50830,940,52
4,GVc7pw_nn2w,"Chicago KOREAN BBQ, FRIED CHICKEN & Portillo’s HOT DOGS | 48 Hour Chicago FOOD TOUR",Strictly Dumpling,4190000,1018422,20465,1338
5,oRRalojFI2E,The Best Secret Chinese Restaurant in Chicago,Munchies,4980000,1143959,28497,808
6,C9KLcyyFwkM,"Chicago Food Tour: What to eat in Chicago, Deep Dish Pizza and more",SandyMakesSense,67000,13179,244,76
7,VJQBfeHP90M,THE BEST CHEAP EAT HIDDEN GEMS in CHICAGO [4K],Luis Gusto,39900,125764,4347,216
8,QY3B35_TWgs,Mcdo grand chicago classic,Vahé Koko,145,427,11,0
9,X6fkP_5IHV0,The Best Deep Dish Pizza In Chicago | Best Of The Best,Insider Food,4610000,2754160,32282,2657
10,sc-fF9Li1vQ,"American Street Food - The BEST HOT DOGS in Chicago! Jim’s Original Sausages, Burgers, Pork Chops",Travel Thirsty,7930000,15613899,158465,10258
11,Yv_nPcvVyDA,The Best Chicago-Style Hot Dog In Chicago | Best In Town,Insider Food,4610000,1804231,20659,2529
12,N9r3dUgfs-c,Does Chicago Have the Best Food in America? | Paddy Vlog,Paddy The Baddy,853000,2195973,47478,3072
13,oR1Sg83B3Os,The 10 BEST RESTAURANTS In CHICAGO | Chicago Must Try,Prophets of Travel,8800,82575,2497,36
14,r1mDmtV5WlM,Adam Devours 2 Chicago Style Dishes: The Italian Beef Sandwich And Deep Dish Pizza | Man V Food,DMAX UK,393000,5803015,44679,2837
15,uBE0IrgDBmQ,The Foods of Chicago: A Delicious History with Geoffrey Baer,WTTW,45400,74330,881,79
