,video_id,comment,likes,replies,username
0,kFMHx6XwBk0,"Very nice list! Here’s some things I would add as a native of the area:<br><br>This city is where the architects Louis Sullivan and Frank Lloyd Wright got there start, you can find many works throughout the city<br><br>Don’t forget about the festivities! Lallapalooza and the taste of Chicago occur in the summer.<br><br>Chinatown is definitely a foodie adventure of its own<br><br>Chicago has a pretty impressive botanical garden on the far north side<br><br>Finally, Chicago is an amazing sports hub! Try to find out whether you like Wrigley Field or Comiskey Park (Now “Guaranteed Rate”)",60,6,Nick Wesley
1,kFMHx6XwBk0,"I grew up in Chicago but moved to SF then Los Angeles after college 35 years ago and I still miss it! (but not the winter, lol) I try to visit my favorite city every year in June but covid put that on hold. I hope to get back there this year to visit friends and family and experience all the great things Chicago offers (especially the deep dish pizza at Numero Uno on E Ohio) Thank you for your great tour it brought back many wonderful memories!",20,1,Christopher Watt
2,kFMHx6XwBk0,"I live 2 hours from Chicago and have only just visited a few months ago and I&#39;m 19. Use to growing up around country and farms and have only seen cities a handful of times from a distance. And to think 2 hours from me is this absolutely incredible metropolis that I&#39;ve never bothered to drive the short distance to. What a beautiful city, really. No other place has made me feel like that... except for nature lol &lt;3",41,8,mindofzay
3,kFMHx6XwBk0,I&#39;m looking forward to visiting the museums and theatres!  Thanks for this guide to Chicago!  👏🏻,7,0,dyrectory com
4,kFMHx6XwBk0,I highly recommend skipping the Sky deck and it&#39;s astronomical prices and just go to the Signature Lounge on the 95th floor of the John Hancock Building. Entry is free and you can enjoy a delicious drink or tapas with the same beautiful views. Also I would suggest paying $10 a day per person for an all day pass on the Chicago water taxi. It&#39;s a great cruise that takes you from The Magnificent Mile to China Town. Much cheaper than the Chicago Architectural Cruise. Skip the deep dish pizza (we don&#39;t even eat that) and go to Home Run Inn pizza. It&#39;s the best you&#39;ll have around the Midwest.,302,21,Sarah
5,kFMHx6XwBk0,I live in chicago and i still feel like a tourist lol thank you for this!,127,16,Francis Delizo
6,kFMHx6XwBk0,👍Chicago is probably the most underrated city in the world.,23,0,RAY RAY
7,kFMHx6XwBk0,"Thank you for this video. Very well put together and very informative. I do have to admit though, I was disappointed you didn&#39;t add Chicago Architecture Center to your list ha! That&#39;s certainly something I&#39;m looking forward too when I visit Chicago in December! Can&#39;t wait!",1,0,Dylan Lingham
8,kFMHx6XwBk0,Forever wishing that someday I&#39;ll get to visit Chicago soon!,5,0,William Sullivan
9,kFMHx6XwBk0,"You guys nailed it. Although with food u will wanna try so many of the small restaurants in unassuming places<br>The museum, planetarium and aquarium are a must go to. Also do go to Mr Greek Gyros for the best Gyros in the city!",8,0,Kaiz V
10,kFMHx6XwBk0,"Hi! Thank you so much for your video! I am in Chicago for a EDM festival, but I needed other things to do since I&#39;m on vacation from work and spring break from school! This really helped! Drove here all the way from Pittsburgh, PA!",4,0,Sad Man
11,kFMHx6XwBk0,I live in Chicago and I can confirm the city is beautiful 😊😌,3,0,Jack Mclaughlin
12,kFMHx6XwBk0,I miss Chicago! Currently been in 7 years in the USAF…gonna see where my family and I go next after this enlistment!,3,0,Danny
13,kFMHx6XwBk0,Estuve en chiacago hace una semana y realmente me enamore de chicago es demasiado hermoso😻🥺🥺🥺🥺🥺fue una experiencia única..ya de regreso al campito de KENTUCKY 🥲😢,1,2,indiferentex
