,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
0,kFMHx6XwBk0,TOP 10 things to do in CHICAGO [Travel Guide],Hungry Passport,233000,521846,7381,291
1,t_Pg-iXFvig,Chicago Travel Guide,Attaché,172000,397861,1986,315
2,QSwvg9Rv2EI,Chicago Vacation Travel Guide | Expedia,Expedia,1150000,2386049,15024,1232
3,tGH-cO0PLYM,THE ULTIMATE CHICAGO TRAVEL GUIDE 2023 // Best Things to Do & Iconic Foods to Eat (4K Vlog),Luis Gusto,39900,136405,3913,205
4,R-1lplryTQA,"Best Things To Do In Chicago, Illinois - Travel Guide [4K]",ViaTravelers,6190,6020,54,15
5,iq8MwuVyYYw,Chicago Travel Guide 2023 - Best Places to Visit In Chicago USA- Top Chicago Tourist Attractions,Global Guide,1070,7590,101,4
6,NmBgCRVo-Yg,Chicago Illinois Travel Guide 4K,Island Hopper TV,194000,360667,6847,459
7,f5xJZBl-FY4,The ONLY Downtown Chicago Travel Guide You'll EVER Need // Loop Neighborhood Tour 2023 [4K],Luis Gusto,39900,21863,1279,78
8,ueHJWaCQ0II,"ULTIMATE Chicago, Illinois Travel Guide 2023 (Like a Local!)",Here Be Barr,357000,77748,1994,291
9,I-xL582lHXE,CHICAGO TRAVEL VLOG | eating & exploring the city!,Stephen Nguyen,849,36684,782,77
10,UT8SnicEct0,Visit Chicago - The DON'Ts of Visiting Chicago,Wolters World,959000,1440416,24522,9259
11,zcb2Tmk0SL4,CHICAGO'S WORST TOURIST TRAPS // What NOT to do in CHICAGO - Travel Tips from a Local (4K Vlog),Luis Gusto,39900,299375,7464,439
12,RT8cUKeCpQc,What To Do In Chicago 2021 | Chicago in 3 Days Travel Vlog,Miss Moore Style,25700,49313,778,80
13,Asw4NOHXBDQ,Chicago USA. 3rd Largest City in the US,CoolVision,661000,3233363,39465,2900
14,3z4rVbxQkO0,"WEEKEND IN CHICAGO VLOG: exploring the city, the bean, starbucks reserve, shopping + lots of food!",Katie Musser,131000,17343,558,28
15,0m63oL5-ONs,10 THINGS TO KNOW BEFORE VISITING CHICAGO,Creative Travel Guide,35400,164483,2533,239
16,NJm-fP6UkFs,Chicago: 10 Shocks of Visiting Chicago,Wolters World,959000,79294,1495,339
17,CpC0x_czPuU,"Illinois: Chicago for a Day - Travel Vlog | What to Do, See, and Eat in the Windy City",Adventures of Matt and Nat,37200,40686,1084,206
18,o_aSh5bcark,How to visit CHICAGO on a BUDGET,Creative Travel Guide,35400,11365,137,16
19,AE0mfx2sVjU,Chicago Travel Guide - 25 Things to Do!,Magellan and Greyhound,10200,8659,165,53
20,UWdfaNWThnA,Chicago 【4K】 City Tour - Downtown [Amazing Travel Experience],4K World,18300,1201037,13758,1099
21,l7E06OM4evQ,CHICAGO VLOG | exploring the city & all the Christmas festivities!,A L L I S O N,369000,181650,6086,301
22,0fNkcN138i8,Top 10 Best Things to do in CHICAGO 2023,TRIP XTREME,36900,44717,551,45
23,BboPFax80bQ,7 Days in Chicago Travel Guide 2023,The Explorer's Guide,525,587,17,0
24,0Z7PohGzbKU,The Chicago 5! Don't waste your trip on anything else.,Wolters World,959000,7882,532,124
25,9vBS8ZUg2qg,2 DAY ITINERARY IN CHICAGO 2023 🇺🇸,Away With Judy,1390,388,9,3
26,-Hi--d1Ri5g,Vlogmas Day 13 | There's No Place Like Chicago for the Holidays!,Tyler Braun,91400,38218,3413,357
27,gz0qzqUAcuw,Top 10 things to do in CHICAGO USA - 2023 Travel Guide,Bucket List Travels,476,805,11,0
28,kXgPJ-AM_UY,MY PERIOD RUINED MY TRIP TO CHICAGO 😭 #periodpiece #chicago #thebean,Uno & Kat,604000,2037356,30769,579
29,3v9LnNrPvvQ,Weather and Things to Do in Chicago in Winter (2022-2023),Free Tours by Foot - Chicago,1500,14274,273,25
30,i-Nki6gqFR4,Chicago Travel Guide Out! What Do You Think The Best City In The USA is? #chicago #travelguide,Travels of Sarah Fay,120000,1860,46,1
31,_zsNWQ0314M,USA Trip Ka Pehla Stop.. BATMAN KI GOTHAM CITY.... Exploring Beautiful Chicago,Traveling Desi,2750000,442496,32735,2079
32,C3n9XjFz0Jg,48 HOURS IN CHICAGO | Winter Chicago Travel Vlog,Megan Acuna,56900,8218,363,56
33,Oygv3je6xRk,BEST Things to Do in Downtown Chicago's Magnificent Mile (Travel Guide & Tour 2023) [4K],Luis Gusto,39900,30921,1241,47
34,7Cs9jqUoovw,"friends trip to chicago | chicago vlog (we went to lots of free, nice, and touristy places!!)",serena,38700,16192,464,30
35,b9eZjGUgHSQ,Solo Travel Vlog: Self Care Trip to Chicago + Skincare Routine + Chit Chat | Janika Bates,Janika Bates,16500,3155,180,26
36,uNJVlCQCfCA,7 free things to do in Chicago | Chicago Itinerary #shorts,Keith and Hannah,640,3533,98,0
37,6TKidwuWKVg,24 HOUR Winter Chicago Travel Guide 🇺🇸🍕🏙 #shorts #chicago #usa #travel #travelguide,Christopher Lau,22600,1721,54,3
38,EsJSSZL-XPI,MY RECENT TRIP TO CHICAGO/ HOW I LOST MY WALLET 💳/FOOD REVIEWS/CRUISING THE CHICAGO RIVER/TOO COLD,OLD SCHOOL SOUL FOOD,202000,6429,692,208
39,OXuHWGdigjU,CHICAGO TRAVEL VLOG,julia k crist,426000,45262,2488,438
40,Psn-Tz-HIdk,What I Ate in A Week :Chicago Travel Vlog | Exploring the City | Lots of Vegan Food | Celebration,Sweet Greens Vegan,66500,9468,936,57
41,3SuOEGaZupg,"Chicago Travel Guide: Top Things To See, Do & Eat",gunnarolla,94900,287215,3421,364
