,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
0,jybiGJVHmpc,Top 10 NYC Foods You MUST Try 2022,Brett Conti,706000,255367,6482,234
1,Qum9GFEecjo,10 Iconic NYC Restaurants To Visit When Social Distancing Is Over | Legendary Eats Marathon,Insider Food,4610000,8842273,65551,2709
2,X8slPEUsf8k,NYC Food Truck Tour!! Cheap Eats in USA’s Expensivest City!!,More Best Ever Food Review Show,1850000,3030879,60722,2899
3,Kcyizx1sd34,The 10 Most FAMOUS Foods From New York (and Where to Try Them in 2023),Sarah Funk,209000,74710,1843,143
4,ODluYyMZzs0,Top 5 NYC Foods You MUST TRY Before You Die!,Here Be Barr,358000,140926,4048,271
5,Wk9vcxLwzaw,Top 10 Most ICONIC Foods in New York City You MUST TRY in 2023,Luis Gusto,40100,9566,798,25
6,SDLRwV0ywGI,NYC best food spots you must try,Beatrice Richer,1110,9954,412,5
7,DsCnlY1NQ3o,10 Foods You MUST EAT in New York City!  Top 10 Local Restaurant Recommendations,Strictly Dumpling,4190000,1027574,22359,940
8,uqao3dOYO7U,Best Late Night Food in Downtown NYC with Jonnyshipes,Munchies,4980000,5143456,98834,3571
9,Fr06X3WeWCg,NYC Top 10 Foods 2022,Brett Conti,706000,222905,19658,66
10,WHlqm72HsJc,EVERYTHING you should do + EAT in NYC,ur mom ashley,1490000,215625,12843,473
11,SkNqKAZxv9I,13 Best NYC Restaurants in 2023 (For All Budgets & All Cuisines),Sarah Funk,209000,34232,943,68
12,YARp3APenz4,"What to Eat in New York City! NYC Food Tour Part 2 (street food, boba, noodles, dumplings & more)",feed meimei,1750000,439928,10986,248
13,B8YGMGaOUAM,The Best Burger In NYC | Best Of The Best,Insider Food,4610000,6020249,67124,4859
14,yygImdiCkYI,Top 10 NYC Foods You MUST try Before you DIE,Brett Conti,706000,1171186,21033,780
15,3D9D3OQqxHA,"WHAT TO EAT IN MANHATTAN! Midtown New York Food Tour 🗽 (tacos, bagels, empanadas & more!)",CupofTJ,587000,146759,4604,215
16,tsPppFCU9XA,Why Is This New York’s Most POPULAR Street Food?,Here Be Barr,358000,722172,12121,765
17,wjcBKMJsca8,48 HOURS IN NEW YORK - The Best Bars & Restaurants - 17 Of NYC's Finest in 2023,TOPJAW,288000,270708,5588,250
18,YvPqrwGDgnM,31 NYC Restaurants You Need To Eat In Your Lifetime | The Ultimate List,Insider Food,4610000,2057901,29173,812
19,XM2WEpoCX90,$100 NYC Street Food Challenge!! Say Goodbye To Your Money!!,More Best Ever Food Review Show,1850000,2585635,51697,1946
20,DVi41MUam90,"WHAT TO EAT IN NEW YORK! 24 Hours in NYC FOOD GUIDE (BREAKFAST, DINNER & MORE!)",CupofTJ,587000,322491,8542,277
21,j4FSjVGw_Kc,"How New York's Best Bagel Shop Makes 100,000 Bagels By Hand Every Week | Big Batches | Insider Food",Insider Food,4610000,1735858,19487,723
22,sxt4YCIsn2I,The Legendary Dosa Man of NYC | Street Food Icons,Munchies,4980000,19126992,361340,13765
23,uZw5G1Ad6-o,The BEST Cheap Eats in NEW YORK CITY ($5 Times Square Food Guide),Here Be Barr,358000,879138,15612,662
24,C1NWu2wjEcY,New York City Food - AMAZING STEAK & CHICKEN SANDWICHES Manhattan NYC,Travel Thirsty,7930000,3543856,31662,1772
25,dHCr1CySguk,Everything I Ate in NYC (Day 1),Senpai Kai,881000,296018,18856,141
26,jOczjj5z1-Q,Are These New York's Most OVERRATED Restaurants?,Here Be Barr,358000,737595,8724,1198
27,emmXWi4iAW4,The Halal Guys' Chicken And Gyro Platter Is NYC’s Most Legendary Street Food | Legendary Eats,Insider Food,4610000,5832576,100076,5460
28,yt3OSpFbP4I,Midtown Manhattan Food Guide: BEST Budget Bites in NYC!,Here Be Barr,358000,208044,9169,277
29,SUJ8jnl3zfs,3 NYC Foods You Have To TRY Before You DIE 😱 #nyc,Sarah Funk,209000,20227,1152,29
30,Re_IgIxJhPY,THE NEVER ENDING TOP DISHES OF NYC PART 3,Action Bronson,671000,1118674,22007,1124
31,jE45DlpMd4I,Famous NYC Foods 2023 | NYC Food Tour Pt. 1,BentLeeyEats,3810,983,36,20
32,z1PuE-UlvJQ,The 9 Most ICONIC FOODS of New York City,ALL NYC,61300,480465,5996,676
33,u1h-jPizdv4,This NYC Restaurant Is Hidden in a Freight Entrance,Great Big Story,6160000,7602168,131903,5607
34,ptnLVeMulO4,"The Best Food in New York City (BEST pizza, bagels, sandwiches, pasta, deserts)",Kim Ebrahimi,31200,11486,4637,7
35,cqH4xJtVV90,I Only Ate STREET FOOD for 24 HOURS in New York! (Impossible Food Challenge),Brennen Taylor,3620000,265584,7653,311
36,1lWYkBUwHoI,The Most Iconic NYC Foods You HAVE to Try,Jessi & Alessio,311000,225591,7587,768
37,QeZcNxC6r2U,The Best Pepperoni Pizza In NYC | Best In Town | Food Insider,Insider Food,4610000,3541499,46122,3362
38,TSoT0qGT2-o,Why New Yorkers Swear By Papaya King's Hot Dog And Fruit Juice Combo | Legendary Eats,Insider Food,4610000,5446727,60623,3525
39,fLt5cKJelis,How Katz’s Became The Most Legendary Deli In NYC | Legendary Eats,Insider Food,4610000,5793946,50594,4169
40,MmzmluxmOcw,Finding the BEST KOREAN FOOD in NYC Food Tour,moneysigneric,166000,129591,5439,397
