,video_id,comment,likes,replies,username
0,1JJfWnAryrM,"📝Planning Your NYC Trip? Shop Our NEW Travel Guides Here: <a href=""http://bit.ly/BarrGuidesNYC1"">http://bit.ly/BarrGuidesNYC1</a>",103,44,Here Be Barr
1,1JJfWnAryrM,12. eat a slice of pizza <br>11. go to a rooftop <br>10.walk the brooklyn bridge <br>9. vist times square at night <br>8. explore central park <br>7. walk the highline <br>6. wander greenwich and west village <br>5. see the statue of liberty <br>4. roam grand central terminal <br>3. vist a museum <br>2. go to a broadway show <br>1. vist the 911 memorial,762,19,johnvjr24
2,1JJfWnAryrM,"For people who love history, I recommend a guided tour of the Brooklyn Bridge.  I did that last year, and the tour guide was excellent.     Learning of the history behind the Brooklyn Bridge from what it was like before it was built and all the suffering that went into building it made the experience of walk so meaningful to me.     The tour company was Inside-Out.",103,4,2000konnie
3,1JJfWnAryrM,"John - I just returned from a two week graduation celebration trip (my daughter from UCLA) to NYC. She has always wanted to go there!  I had a lot of time and fun in reviewing probably all of your videos and a bunch of the Traveling Clatt as well. Thanks a million for making and posting those videos - we packed so much into our time there and based much of what we did on the information you provided through your videos. We felt like it was a trip we will never forget and boldly explored NYC with confidence!  Thanks again... even though the trip has ended I know I’ll still watch your posts (we actually left a couple things undone for next trip). Regards, Steve.",27,0,Steve Ralston
4,1JJfWnAryrM,"I cannot even tell you how much your videos helped.  We just got back to small town Indiana from the big Apple.  After watching your videos I totally felt like we did NYC right!  Went to Chelsea got them tacos from Numero Uno!  Learned the subway system, Brooklyn Bagel, walked the Brooklyn Bridge, ate at off the path restaurants.  Even though our hotel was on Times Square we ventured out and didn’t stay confined to the tourist stuff.  Thank you a thousand times man.  Between you and “Clatt” I felt like I just knew what I was doing!",13,0,aaron oyler
5,1JJfWnAryrM,"Keep up the great videos! As someone wanting to visit,  I really like how you recommend &quot;touristy&quot; places anyway because they&#39;re just a fun experience &quot;at least once&quot;. Perfect mix of recognizing newbie excitement and combining it with your local insight!! Thanks!!!!!! Really glad I found your channel!",17,0,Karoline Keffer
6,1JJfWnAryrM,"Thanks John!  Everything you show us is awesome.  What I’d love to see is your spin on walking food/sites itineraries concentrated in one area and doable in 3-4 hours.  I know there are walking tours out there, but your recommendations with visuals of just the outside of landmarks would be fantastic!  I’ve done walking tours w companies before (and they are great) but it’s for set times and dates ~ not necessarily what works with ours.",1,0,MySweetLoves
7,1JJfWnAryrM,"You read my mind, I&#39;m counting down to my first trip to NY very soon, can&#39;t wait to do all these these things. Thanks for all the great NY advice as always!",36,4,malaz
8,1JJfWnAryrM,"I couldn&#39;t agree more! Especially transit museum was definitely my favourite, and without your videos I&#39;d probably miss it.<br>If I&#39;d expand this list, I would add:<br>1. Go for a helicopter ride. Yes, it costs, but you won&#39;t regret it.<br>2. Go for a cruise on a sailing boat. Some of them even have live music!<br>3. Visit Bay Ridge in Brooklyn. By far my favourite neighbourhood, simply stunning!<br>4. Go to Coney Island. The beach is amazing(I&#39;m from Greece so I have high standards on beaches), and there&#39;s also NY aquarium nearby, as well as a luna park and nice spots for food and drink.<br>5. Visit NY Library. Really beautiful and FREE!<br>6. Visit National Museum of American Indian. Really nice museum with a few cool activities, also free!!!<br>7. If you&#39;re into sports, madison square garden is a must see!<br>8. Roam around Washington Heights. Really cool neighbourhood that also has the sylvan terrace, which is simply amazing.<br><br><br>But please people don&#39;t stick to only such lists, just go out and explore the city!",47,2,keyser soze
9,1JJfWnAryrM,"Instead of top of the rock which costs a lot of money, you should get a drink at the William Vale Hotel in Brooklyn. The bar is set at the top of the hotel on the 22nd floor. Views are incredible and it&#39;s a way more affordable option.",574,8,RENNA
10,1JJfWnAryrM,I have been itching for a Nee York trip. Visited the airport more times than I can count but it doesn’t count in visiting New York! I have to go!!!! Love traveling and blending into a crowd. Seems easy here. I absolutely love your guide. I’ll be using it for sure. Thanks!,3,0,Piper0516
11,1JJfWnAryrM,"I did none of the tourist stuff and explored the city by walking everywhere, or taking cabs. Loved it!",24,1,William Sauer
