,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
0,avpv1dZYC8U,Texas Food Truck Tour!! Inside Austin’s Brisket-Mobile!!,More Best Ever Food Review Show,1830000,2428649,52306,1809
1,apbqDnRNhP4,Texas Food that Will KILL You!! (Eat at your own risk),Best Ever Food Review Show,9960000,3365042,60590,2269
2,Zlzi7tsrrh4,"$10 vs $125 Food Truck Food in Austin, Texas!!",More Best Ever Food Review Show,1830000,3952047,65388,1847
3,L4fZTawl73Q,MONSTER Texas Meat Pit!! Best BBQ in Texas!!,More Best Ever Food Review Show,1830000,1708641,32433,1095
4,GpdN3zdvfDc,Eat Texas - 5 Foods You Have to Eat in Texas,Wolters World,959000,91067,1423,232
5,51HMytrxVvc,$14 TEXAS BBQ VS $320 TEXAS BBQ!! Vegan's Worst Nightmare!!,Best Ever Food Review Show,9960000,6044890,105023,3798
6,6SmCcalQElc,The Best Barbecue In Austin | Best Of The Best,Insider Food,4610000,4347084,47057,2967
7,2vEEH6JYi0w,What to Eat in HOUSTON! Texas Food Tour Part 1,feed meimei,1740000,149215,4078,322
8,0jTHnyobAGU,Street Tacos of Texas | Street Food Icons,Munchies,4980000,3183112,52973,2007
9,HVb7iQeuEcE,Eating only the most iconic food from Texas for the whole day! #shorts #food #series,Tommy Winkler,2660000,677711,55218,906
10,nTExj6RoucY,Texas World Food Tour 🍲 (FULL EPISODE),The Daytripper,39400,50165,688,35
11,JdWQWpkqqc4,My first meal in Texas🤠 #Shorts,Danny Kim,1290000,9863958,644341,4983
12,jdRsYs5N_tc,Why Texans Call This The Best BBQ Spot In Dallas | Legendary Eats,Insider Food,4610000,4071098,42254,3428
13,usGKpGzvXz4,ULTIMATE Texas SMALL TOWN FOOD TOUR! Most LEGENDARY STEAKHOUSE in Texas!,Strictly Dumpling,4190000,2114139,38255,2196
14,r0T-1ns9y9c,Dino-Sized Brisket in TEXAS!! Best American Food BBQ!!,Best Ever Food Review Show,9960000,3825273,73704,2198
15,OuA_uL3z_as,"13 Best Restaurants in Austin, Texas",ViewCation,24600,50303,623,33
16,EQojqi2j1xI,ULTIMATE FRIED FOOD CHALLENGE at Texas STATE FAIR!,Strictly Dumpling,4190000,1159467,28450,1292
17,jaHd1Fm5zl0,Must Try Before You Die!! USA's TOP 50 INSANE Fair Foods!!!,Best Ever Food Review Show,9960000,19745541,194971,7475
18,vEn-tZa1vAQ,LEGENDARY Texas BBQ! BEST Beef Brisket | Franklins vs. Terry Black’s in Austin Texas | 5 HOUR WAIT!,Strictly Dumpling,4190000,5148833,67209,4121
19,MqmjYvkNoP4,$100 Food Challenge at Buc-Ees! World's Largest Gas Station!,More Best Ever Food Review Show,1830000,1831915,33952,1311
20,ZbFAg3xAypA,Eating Texas Roadhouse for a full day! #foodie #eating #shorts #steak #texas #southerncooking,KarissaEats,798000,2019019,153607,858
21,kcz82c9ZUW4,Traditional Texas Food - What to Eat in Texas,Wolters World Eats,16100,7190,359,56
22,xCVC7ERzcDA,What to Eat in HOUSTON! Texas Food Tour Part 2,feed meimei,1740000,135799,3319,213
23,k3v2waV8ylM,The Family Behind LA’s Best Texas BBQ,Munchies,4980000,1174733,27778,1126
24,gJt9oZpt9rA,🥵😮TEXAS SIDEWALK STEAK Open Carry Edition😮🥵 Texas Sidewalk Recipes #shorts,Funky Cold Medina DIY,116000,2787092,249601,2672
25,mrO5HpmH5j8,‘Texas Eats’ Episode 9: Exploring Galveston,KSAT 12,255000,80128,799,31
26,35sjCIZ53Ig,TWISTED TEXAS State Fair Sandwiches!!! Texans are INSANE!!,Best Ever Food Review Show,9960000,2203714,50916,1825
27,iW_2rya9JLQ,"IMPOSSIBLE 13LB TEXAS BBQ CHALLENGE (15,000 Calories) | Biggest BBQ Challenge | American Barbeque",Joel Hansen,599000,1353762,26958,1465
28,lVR51NjZYds,Texas food plot video-Fall food plots 2021,Kapper Outdoors Modern homestead,106000,1932,184,19
29,_dlSiNejttM,"What to Eat in San Antonio, Texas - Traditional San Antonio Foods",Wolters World Eats,16100,5911,240,48
30,NRSqjycw6gc,Irish People Taste Test Texan Food,Facts.,1780000,3441924,33579,10732
31,mG8TAZcL3rc,INSANE‼️Seafood Box 🦞🍤 In Dallas Tx (I Can’t Believe This🤯‼️) #shorts #seafood #fyp #foodreview,Mr.ChimeTime,344000,1574998,98538,996
32,70fhpKKCQ3M,Texas BBQ in Austin - Bigger than Life,Aden Films,2130000,8022031,50838,4103
33,eSuI2tHcOR0,바베큐에 인생을 걸었다? 일매출 최대 2000만원! 역대급 스케일의 미국식 바베큐집 / Original Texas BBQ / Korean street food,하이푸디 HiFoodie,762000,8967351,38347,1185
34,lT2a30IJy_Y,Texas Best - Mexican Food (Texas Country Reporter),Texas Country Reporter,119000,176581,1276,190
35,5-lC9czokfs,The Texas Bucket List - The Turkey Leg Hut in Houston,The Texas Bucket List,131000,1006435,19500,1755
36,jtKR7NfhJBQ,Trying TEXAS ONLY Fast Food Restaurants For The First Time!!,JuJu & Des,1440000,105399,5849,777
37,QyEbn-RBsYk,20 Best Restaurants in Austin Texas,Venture Addicts,22800,22157,377,40
38,tD0AYJyXNFM,Texas Roadhouse Food Review,PJ Johnson,2480,33822,2504,29
39,Tdo5FSe8vA4,Guy Fieri's Texas Chili | Guy's Big Bite | Food Network,Food Network,2280000,130483,2281,165
40,yHQeUMBBjh4,Cowboy Life in Texas | Bizarre Foods with Andrew Zimmern | Travel Channel,Travel Channel,476000,2150164,13980,1234
41,_SvKrl4EviI,"Guy Fieri Eats Texas Brisket | Diners, Drive-Ins and Dives | Food Network",Food Network,2280000,397238,2862,66
42,asAE6GJF74k,Texas Food Handlers Card - How to Get Your Food Handlers Card Online,PremierFoodSafety,1770,66109,169,2
43,kcVT78HqZ14,North Texas food banks in higher demand because of inflation,WFAA,414000,381,9,2
44,dmDOdA56tkM,Texas BBQ Has A Secret Location In LA,Insider Food,4610000,15514102,84801,3861
45,cmRzd9LbGEU,"The BEST TEXAS BBQ, Fried Chicken, Burgers FOOD TOUR! - Austin, TX",FUNG BROS.,2170000,297565,5069,314
46,1hvPTqswJn4,Day In The Life of The #1 BBQ In Texas,Alvin Zhou Films,143000,11098935,214548,7551
47,OP4BZaU-nm0,"Kelly, Marsai Martin & Mckenna Grace Gush Over Texas Food",The Kelly Clarkson Show,2420000,32020,942,95
48,wL1C1k_xm-0,Do I need a license to sell homemade food in Texas: What License do I Need to Sell Food in Texas,Marketing Food Online,116000,12458,445,55
49,OYhsRWMBLwY,"Brisket, sausage and chicken served at this Texas food truck",KENS 5: Your San Antonio News Source,185000,860,20,0
50,5-lC9czokfs,The Texas Bucket List - The Turkey Leg Hut in Houston,The Texas Bucket List,131000,1006435,19500,1755
51,pkLOh1frGjg,"Fully Loaded Roundhouse Burger Challenge in Fort Worth, Texas!!",Randy Santel,1590000,398426,10765,1121
52,tD0AYJyXNFM,Texas Roadhouse Food Review,PJ Johnson,2480,33822,2504,29
53,Tdo5FSe8vA4,Guy Fieri's Texas Chili | Guy's Big Bite | Food Network,Food Network,2280000,130483,2281,165
54,yHQeUMBBjh4,Cowboy Life in Texas | Bizarre Foods with Andrew Zimmern | Travel Channel,Travel Channel,476000,2150164,13980,1234
55,_SvKrl4EviI,"Guy Fieri Eats Texas Brisket | Diners, Drive-Ins and Dives | Food Network",Food Network,2280000,397238,2862,66
56,asAE6GJF74k,Texas Food Handlers Card - How to Get Your Food Handlers Card Online,PremierFoodSafety,1770,66109,169,2
57,kcVT78HqZ14,North Texas food banks in higher demand because of inflation,WFAA,414000,381,9,2
58,OP4BZaU-nm0,"Kelly, Marsai Martin & Mckenna Grace Gush Over Texas Food",The Kelly Clarkson Show,2420000,32020,942,95
59,wL1C1k_xm-0,Do I need a license to sell homemade food in Texas: What License do I Need to Sell Food in Texas,Marketing Food Online,116000,12458,445,55
60,IwdDbz24Ryk,British FIRST TIME Trying Texas BBQ Food 🍗 | Texas Series,Those Two Brits,323000,933965,18722,5666
61,cmRzd9LbGEU,"The BEST TEXAS BBQ, Fried Chicken, Burgers FOOD TOUR! - Austin, TX",FUNG BROS.,2170000,297565,5069,314
62,OYhsRWMBLwY,"Brisket, sausage and chicken served at this Texas food truck",KENS 5: Your San Antonio News Source,185000,860,20,0
63,gNFZ7vH5q_Y,Central Texas Food Bank provides 500 households with food in response to increased need | FOX 7 Aust,FOX 7 Austin,85300,674,9,0
64,Ew1jJ0zu66I,Texas Fried Chicken Eating Session #shorts,Quang Tran,2710000,947884,75260,1166
65,aj76hpUymDI,AN AWESOME POPULAR FOOD THAT WAS INVENTED IN GREAT STATE OF TEXAS/OLD SCHOOL BALL PARK MACHO NACHOS,OLD SCHOOL SOUL FOOD,202000,6122,803,107
66,0hYXVicaOUo,BEST BBQ in Austin Texas?! FLUFFY TACOS & ULTIMATE FOOD TOUR of San Antonio Texas,Mike Chen,1580000,1245629,23131,1357
67,W3i2E-kvWSg,"Texas Eats: Loaded Burgers, Pizza and French Cuisine",KSAT 12,255000,3802,57,1
68,-NDboxVIjW0,Chaos at H-E-B: People seen fighting over discarded food in South Austin | FOX 7 Austin,FOX 7 Austin,85300,79476,209,136
69,4wHkqqehqyA,The Best LUXURY GLAMPING Ever!! 😍 Our Desert Dome House TOUR + Delicious Texas Food,The Endless Adventure,576000,89924,6086,242
70,OpS9gGK0Osw,"Guy Fieri Eats at Hullabaloo Diner in Texas (THROWBACK) | Diners, Drive-Ins and Dives | Food Network",Food Network,2280000,280245,3408,92
71,3Eot8wObALw,The ULTIMATE TEXAS BBQ TOUR in HOUSTON! 3 Insane Spots!,Rockstar Eater,116000,59962,1221,145
72,bYNWhWhRAls,North Texas Food Bank - Meeting the Need,North Texas Food Bank,322,684,5,0
73,la9gaj22qoc,What Do You Need to Start a Food truck Business  in Texas [ How much cost to start a food truck,Food Truck Freeks ,3920,6222,155,14
74,DOtmIrJ1NXY,I Found TEXAS Style BBQ‼️😧 In New York ‼️🔥(BEEF RIBS‼️🤯) #shorts #foodreview #fyp #newyorkfood,Mr.ChimeTime,344000,679980,60193,1020
75,tEZa-61h1io,5 Pro Players Try Authentic Texas BBQ for the First Time | SQUAD VIBES,Team Liquid Honda: League of Legends,26800,77771,1393,86
76,j9ccwHLQTxw,17-inch Habanero Burger Challenge in Texas!!,Randy Santel,1590000,275825,8620,949
77,UOYF-v7IloU,Dallas Texas Top Places To Eat Food Tour,Fantabulous Travels,2460,22128,167,26
78,BdDTwLb9KH8,ULTIMATE TEX-MEX Tour in Texas!!! Inventor of Fajitas!!,Best Ever Food Review Show,9960000,1214606,32011,1364
79,CdkG2HRMW_k,Tribal People Try Texas BBQ For The First Time,Reactistan,432000,2225851,36661,4993
80,YOGOudQjvAY,"is the TEXAS STATE FAIR worth the hype | food + drink reviews, rides, and more!",Bria Jones,267000,6850,376,27
81,FHt-94ZGmBw,Order BBQ in Texas Like This #texas #austin #bbq,ArnieTex,243000,860642,31998,716
82,eJevqZ9f4Bg,Top 10 Best Texas Dishes and Foods | Best American Food,Best American Food,1000,5027,124,4
83,2S5lCdRLeSA,We Ate The BIGGEST Food in Texas! 🍕,Blatant Reviews,1810000,909595,104565,495
84,IywSlBPha9I,What I eat in a day | One meal a day from Texas Roadhouse OMAD #whatieatinaday #shorts,Ryan Johnson,150000,1951736,99730,621
85,ZcNdkQE2U1o,The Hidden South Indian Texas BBQ Joint | Word of Mouth,Munchies,4980000,691888,19124,1135
86,-iDqRwm_nNg,Allen's Family Style Meals (Texas Country Reporter),Texas Country Reporter,119000,57055,1431,64
87,dpIzGGyFhmc,IMPOSSIBLE DEEP DISH PIZZA CHALLENGE (9LB) Texas Sized Food Challenge!,Joel Hansen,599000,271808,16301,332
88,Vn7e3C_NDQE,I Tried Texas School Lunches🍔🍉 (INSANE FOOD CHOICES) #Shorts #School #Lunches,Blatant Reviews,1810000,1043477,128085,1518
89,sgwtR9MmTD4,State Fair of Texas Food Tour,The Rose Table,2950,1888,31,9
90,B6U9iMbw6do,Eating only Texas Roadhouse for the whole day! #shorts #texas,Tommy Winkler,2660000,630426,38375,1179
91,roIXQb9PEMg,SHOCKING Texas Pig Face!! Americans Won't Eat This!!!,Best Ever Food Review Show,9960000,2614982,58049,2414
92,alOtkF30fE0,Foraging Wild Food -Survival Texas-,Bob Hansler,385000,763036,24887,1538
93,wkPjMFHhmt4,"Top 3 Food Trucks In AUSTIN, Texas (BBQ, Pizza, Wings FOOD Tour)",DanVsWorld,33600,6307,312,49
94,LqNh0LhKDcs,Exotic Animal Meat in Texas!! Is This LEGAL?,Best Ever Food Review Show,9960000,1830985,39536,1442
95,35JIwUingJA,Texas food in Thailand,notime2bhungry,5830,1084,126,8
96,xSopaJ55Ams,Texas Barbecue and Aged Kimchi Create the Pinnacle of Korean American Fusion — K-Town,Eater,3450000,147694,2305,125
97,swoNumZWGGs,Texas Food Handlers Certification,National Food Handlers Foundation,10,844,1,0
98,lZODnJ8gAL8,Thousands Line Up For North Texas Food Bank's 'Largest Mobile Food Distribution Ever' Saturday,CBS TEXAS,334000,53033,306,565
