,video_id,comment,likes,replies,username
0,dNU1lJiDaSY,I studied at the Academy of Health Sciences at Fort Sam Houston in 1988 and 1994 and in both occasions I immensely enjoyed my stay at San Antonio. I fervently wish I could go back to Texas and explore the amazing  places I haven&#39;t seen. Love from the Philippines.,34,1,Maritoni Hernandez
1,dNU1lJiDaSY,"So much was left off this list.  I am a native Texan and am still discovering wonderful, unique gems in my state.  I currently live in Rockport which is on the Texas coast in the Coastal Bend area (think Corpus Christi).  This place has so much history and many festivals which make it an amazing place to be. Another unique tour to do in Texas is a tour of the Painted Churches.  These are unique pieces of Texas history and are located in or near communities that are worth a visit.  The last thing I will mention is the Kolache Tour of Texas which is an homage to our Czech heritage.  It is worth digging beyond the usual places always mentioned in videos of Texas.",31,3,ecneb
2,dNU1lJiDaSY,"<a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=01m02s"">01:02</a> #10 Palo Duro Canyon<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=01m59s"">01:59</a> #9 Fort Worth<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=03m21s"">03:21</a> #8 El Paso<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=04m25s"">04:25</a> #7 Big Bend<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=06m00s"">06:00</a> #6 Dallas<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=07m47s"">07:47</a> #5 Galveston<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=08m48s"">08:48</a> #4 Hill Country<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=09m49s"">09:49</a> #3 Austin<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=11m24s"">11:24</a> #2 Houston<br><a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=13m01s"">13:01</a> #1 San Antonio",172,21,freewillydp
3,dNU1lJiDaSY,"Moving from Florida to Dallas TX, I can&#39;t deny I&#39;m sorely missing those trees but there&#39;s a lot to see and experience here!",8,0,Arvindh Mani
4,dNU1lJiDaSY,I&#39;m glad I was born and raised in Texas,35,0,Phoenxix gaming 
5,dNU1lJiDaSY,"Sou brasileira, meu sonho é conhecer o Texas",18,2,Sandra Silveira
6,dNU1lJiDaSY,"Before i die i would like to visit Texas, one wish everyone should have, going to Texas. Just imagine how magical this land is. Greetings from Portugal",32,11,Luis
7,dNU1lJiDaSY,I live 2 hours away from San Antonio. One of my favorite places to go to when I need a mini vacation. I love going to the Riverwalk especially during Christmas its so Beautiful.,19,2,Chica B
8,dNU1lJiDaSY,I have live in north Texas-DFW metroplex for 13 years now and I’m finding out these other places like the trails and canyons. Thanks for sharing this.,6,1,Linda H
9,dNU1lJiDaSY,Other places I think people should check out that weren&#39;t in the video is New Braunfels and South Padre Island,59,3,Phoenxix gaming 
10,dNU1lJiDaSY,"I never actually wanted to go to Texas, but these landscapes are so beautiful I have to go see it in person!! :D",11,4,Abshire5503
11,dNU1lJiDaSY,I&#39;ve lived in Dallas all my life but I love San Antonio and it&#39;s rich history.,0,0,Julia Soto
12,dNU1lJiDaSY,#11 Waco<br>Visited 4 years ago.<br>I lived in ne Pennsylvania for 8 years.<br>This southern boy had to escape the brutal winters.<br>Been here almost 3 years now.<br>Smaller city but nice people.<br>Come in spring or fall unless you like 100+ summers.<br>Y’all come see us!,44,4,AJ
13,dNU1lJiDaSY,Cómo extrañó a mi Tx querido tengo 3 semanas qué lo dejé para retirarme a California y dure 18 años en tx y se me izo muy bonito por eso me quede tanto tiempo por allá tengo que estar yendo dé vez en cuando a vi citarlo porque lo extraño mucho 🥰,13,4,Maria Garcia
14,dNU1lJiDaSY,Beautiful scenes and informative knowledge in less amount of time. Absolutely worth watching . Thank You !,7,0,Ann E
15,dNU1lJiDaSY,"The list was only 10 places but yes there is so many wonderful things and places to see in Texas. My only adding point will be in Houston Rice University isn’t the most popular or only University there. We have University of Houston, St. Thomas University, and Texas Southern University as well as a very large Houston Community College system. Houston has also become the hub for all things medical with an ever growing colleges of medicine. But, outside of that information this video was very nice and informative. It’s just so many more wonderful things not only in the state, but in each of the mentioned cities as well. Thanks for sharing.",1,2,Tangela Bedford
16,dNU1lJiDaSY,San Antonio is a beautiful city !! ❤️,24,1,크리스탈쌤 The Key to English
17,dNU1lJiDaSY,Amazing Texas! ❤ Thanks for the tour 👍,12,0,Tour Sidekicks
18,dNU1lJiDaSY,Spectacular video. I love Texas. Love from Minnesota!,26,2,lavisive
19,dNU1lJiDaSY,Thank you so much for this video. Makes me appreciate my city so much,0,0,QueenLiZz
20,dNU1lJiDaSY,San antonio Riverwalk is absolutely beautiful during December they have it decorated in beautiful Christmas light I know this because I have lived in san antonio my whole life,2,0,Ava Lynn
21,dNU1lJiDaSY,Born and raised from San Antonio  Texas.  <br>I love my city but tbh I&#39;m ready to leave. I feel there&#39;s so much more to explore and learn to be stuck in the same state<br> <br>I&#39;m reading all comments and I love to hear that all of you enjoy Texas and want to come back or some who really want go visit. You should it&#39;s great so much to do. Been here all my life and i still haven&#39;t been able go explore everything,0,2,QueenLiZz
22,dNU1lJiDaSY,So amazing. Love Texas,4,0,Ryan Stonebridge
23,dNU1lJiDaSY,This is such a nice video... the narration is 100%.  Thanks!  👏🏻,1,0,dyrectory com
24,dNU1lJiDaSY,Texas always in my heart,22,0,GOLDSPACEVIDEO
25,dNU1lJiDaSY,Beautiful wildwest Texas.<br>Thanks for the video.,11,0,SOUNDS and NATURE
26,dNU1lJiDaSY,"Also, Texas sky is absolutely gorgeous!",22,1,Ardi Tehrani
27,dNU1lJiDaSY,Proud to be a Texan.,31,2,Tuesday Nabawa
28,dNU1lJiDaSY,"Thank you for the video! We love it!! Greetings from Chihuahua, Mexico!!",4,0,Visitando Chihuahua - Manuel Chavez 
29,dNU1lJiDaSY,I live in Texas and I&#39;ve been most of the places and they are amazing,4,0,ChikenMan
30,dNU1lJiDaSY,"I stayed for 8 months in Texas 20 yrs ago ! I like Texas very much ! I enjoyed the river walk on boat in the middle of SonAntonio  City !   Festivals , Alemo Theater , carnivals Every Friday&#39;s  afternoon until Sunday  It&#39;s all Enjoyable &amp; Funny  in Texas Specially in SonAntonio ! Also in Houston, Austin &amp; Else ! I Like Everything There<br>❤️❤️❤️✋️💪🏾✊️",11,1,Mulu Mola
31,dNU1lJiDaSY,Galveston is an amazing place to visit,1,0,[]Vimori-Gacha[]
32,dNU1lJiDaSY,God Bless Texas!!,241,17,Roger Neves
33,dNU1lJiDaSY,TEXAN ARE VERY PROUD . TEXAS IS A SOLID STATE,8,0,teresa galvan
34,dNU1lJiDaSY,I LOVE TEXAS!!!💕🇺🇸,3,0,Vic Cas
35,dNU1lJiDaSY,Thank you. I really want to go to Texas. It&#39;s a beautiful and diverse state.,28,4,Laura Buchanan
36,dNU1lJiDaSY,We  were  in  san  Antonio   for  2  weeks    for  a conference   &amp; had  at the  same  time  a  holiday  of  life time 🙂,3,0,Asarere Bird
37,dNU1lJiDaSY,Will definitely be checking some of these places out!,2,0,Andrew Lombara
38,dNU1lJiDaSY,Texas hill country is beautiful between Houston and austin.brenham is a nice town.,5,0,Curt Richardson
39,dNU1lJiDaSY,God Bless Texas,6,0,Sound Wave6
40,dNU1lJiDaSY,"When you say a stone’s throw in the States, think that means taking a flight 😊<br>Was going to try and go to the States this year for my 60th. Was looking at San Francisco but looking at what’s happening over there in general, with BLM and defund the Police crap,CRT etc. can’t help feel that Texas would be the better choice of seeing the real America.",11,3,MikeyMike FType
41,dNU1lJiDaSY,Missing great places like Canyon Lake Tx it has crystal clear blue water,4,1,Rosie Dotz
42,dNU1lJiDaSY,"I was born in Texas in 1945 about 30 miles  west of Ft. Worth, if I leave I always come back <br>I Love Texas 💘",3,1,Lenis Bennett
43,dNU1lJiDaSY,Would love to visit TX someday :),2,2,Lindsay Hengehold
44,dNU1lJiDaSY,"San Antonio, the largest city in United States is so beautiful 💗💗💗",1,1,Paper Planes Channel
45,dNU1lJiDaSY,YES. The Kimbell is SUPER AWESOME. They have some BEAUTIFUL artwork there. 💜💜💜💜,3,1,Ladenna Young
46,dNU1lJiDaSY,PROUD TO BE A TEXAN,42,4,Raquel Velasquez
47,dNU1lJiDaSY,I will live in Texas one of these days if God willing.,1,0,hadassah22
48,dNU1lJiDaSY,"One day I will be there,God bless Texas!!",20,2,cFolasewa Odunola Adeogun
49,dNU1lJiDaSY,The star at night are big and bright 👏 👏 👏👏 👏 deep in the heart of TEXAS,14,0,Micaela Redding
50,dNU1lJiDaSY,Nice place to visit in USA. Especially to enjoy COWBOY culture.,6,1,Vipul Borkar
51,dNU1lJiDaSY,I&#39;ve never been to Texas.  Tbis was a great video about the state. Great job. Check out Taylor&#39;s grand adventures for great travel videos,1,0,Lala Baby
52,dNU1lJiDaSY,"Hello I’m from Malaysia and I love to visit Texas coz I love Cowboy. I mean it. If God give me permission, I dont want just to visit, I want to stay permanently making my life there making a family there nor have a home there with someone special from there maybe? Who knows hehehe. May my dreams comes true one day, Ameen ❤",0,0,Karlito
53,dNU1lJiDaSY,This was so helpful❤️,2,0,Idareyoutolive.
54,dNU1lJiDaSY,You should take a look at those international bridges in El Paso-Juarez. Long lines to cross and Mexican Nationals don&#39;t come into the USA because of the Pandemia.,3,3,Dina Bocanegra
55,dNU1lJiDaSY,Don&#39;t miss the oasis that is the Dallas Arboretum on the east side of the city 🌷🌷🌹🌹,5,0,GeoTex
56,dNU1lJiDaSY,Wow that’s amazing so beautiful thanks for sharing enjoy watching I love Texas 💚🤗👌,1,0,Sakol Voradee สากล วรดี USA
57,dNU1lJiDaSY,"I&#39;m disappointed Corpus Christi didn&#39;t get a mention. The beautiful City by the Sea. The Texas State Aquarium and the breathtaking Bay Front, plus USS Lexington, to mention a few things to see and do. Of course the beach too.",3,0,John R Breazeale
58,dNU1lJiDaSY,I just visited Stock yard and Cow Girl museum at Fort Worth last month. Great 👍,0,0,K P
59,dNU1lJiDaSY,"All great places but I think the natural wonders of Palo Duro, Hill Country and Big Bend should be closer to the top or separate the natural wonders into a separate video. Saying go see a whole city is a little overwelming to a lot of people even if you do mention specifics. The only mega city I am ever interested in visiting when in Texas is San Antonio. Beyond that, I prefer smaller cities and towns. Much easier to see and do things and the costs are not as prohibitive.",1,0,Lisa Harrington
60,dNU1lJiDaSY,"Oh gosh.. I wish I could pay a visit in Texas while I am on holiday vacations during the season greetings by December.. <br>Live, Love and Life 🙏❤️🍀💫",5,2,Dave El Ruiz
61,dNU1lJiDaSY,Great landscape!  👍,4,0,Rising Sun【Japan Guide Info】
62,dNU1lJiDaSY,"Not saying this cuz I&#39;m from Texas, but i live in most beautiful state in the Country!.",5,0,grocery get'r
63,dNU1lJiDaSY,Thank you for showing me a nice place!<br>I hope to return to a world where you can go wherever you like as soon as possible!,8,0,SAMURAI WALK / Chonmage Go
64,dNU1lJiDaSY,Great nation great country 👌,0,0,Kalim Akhter
65,dNU1lJiDaSY,EL MEJOR  ESTADO PARA VIVIR,3,0,Juanita Gaona
66,dNU1lJiDaSY,Texas is the only state I will ever live in . <br>Jacobs well is beautiful ♥️,12,0,"Michele , David’s Wife"
67,dNU1lJiDaSY,I love Dallas Texas.,14,0,Vivian
68,dNU1lJiDaSY,"Amazing scenery. 2021 and there is something else Texas has: true freedom. I am from New Zealand and its getting as oppressive as North Korea. Lockdowns, passports to visit shops, police fining you for not wearing a mask, hundreds of people losing their jobs. Its horrible now.  <br>Wish I could move to Texas. I reckon I would become one its biggest champions! Because I now know what the alternative is like. Long live Texas!",16,3,Breen Whitman
69,dNU1lJiDaSY,I prefer Padre Island and Rockport than Galveston.,45,3,Emerson Rodrigues Pereira
70,dNU1lJiDaSY,It was a fun trip to Texas 😉👍,3,0,TokyoMaps
71,dNU1lJiDaSY,"I definitely prefer Port Aransas, or rockport over Galveston any day.",17,1,Sebastian bundrick
72,dNU1lJiDaSY,Love Houston.,7,0,꧁Inolvidable ꧂
73,dNU1lJiDaSY,I am a pa native moving to Texas and we just moved it was so awesome,5,1,Nate Grant
74,dNU1lJiDaSY,"I am so happy . I am living in San Antonio for approximately 13 + and San Antonio is number 1 . Wow !!! I am so happy , Praise God .",6,5,Regina Volosen
75,dNU1lJiDaSY,"Wonderful drone shots. Well done. Fantastic, Amazing nd Excellent.",1,0,SEEMA Sharma
76,dNU1lJiDaSY,Texas is a state like none other!  I love living in Amarillo.,4,4,Vicky Burton
77,dNU1lJiDaSY,"Hi. Does anyone know where the rapids / cascading falls are at <a href=""https://www.youtube.com/watch?v=dNU1lJiDaSY&amp;t=0m13s"">0:13</a> in the video?",0,0,Emma Guy
78,dNU1lJiDaSY,So wonderful footage. Thanks for sharing this my friend. Have a great time.,5,0,ByronCons Bass
79,dNU1lJiDaSY,"một thành phố xanh sạch đẹp ,",2,0,KIM CUONG TRAN THI
80,dNU1lJiDaSY,"Hill country, Big Bend &amp; Palo Duro should have been much higher on the list.",1,0,Geoff Fritz
81,dNU1lJiDaSY,Great channel 🙌🏻,2,0,PAP KIDS
82,dNU1lJiDaSY,I love Texas 💖 unfortunately my visit visa has been rejected 😭but I will be try again...pray for me...❤️,0,0,Kalim Akhter
83,dNU1lJiDaSY,"You missed South Padre Island, the best beach resort town in Texas by far",43,2,nolascoarias
84,dNU1lJiDaSY,"Yes i live in texas and yes God bless texas we have alot to see and alot intertaiment and alot good places to eat, you named it😋😋🥰",1,0,Toni Nieto
85,dNU1lJiDaSY,Still waiting to go to Big Bend!,0,0,jim kinkade
86,dNU1lJiDaSY,Proud to be Future Texan!💍👩🏽‍🤝‍👨🏻❤️,36,7,Maggie B
87,dNU1lJiDaSY,Nice places.thanks for sharing,0,0,Naureen Jahangir
88,dNU1lJiDaSY,"Texas ⭐️🇨🇱  one state under God, one and indivisible ,the best state in America 🇺🇸!",23,2,Jesus Hernandez
89,dNU1lJiDaSY,"Dallas, TX so on my bucket list!",13,1,Manuel Ruiz
90,dNU1lJiDaSY,What a train routs beautiful 😃💖,0,0,Kalim Akhter
91,dNU1lJiDaSY,"Glad to see my city is on the list,Fort Worth is the best city in the world :)",6,4,AverageTexan
92,dNU1lJiDaSY,"I wasn&#39;t born here, but I got here as fast as I could!😅  Love Texas!!!❤",24,10,Cindy Foley
93,dNU1lJiDaSY,2 Things about GAlVestoN <br>1 Galveston is Beautiful.  <br>2 Galveston is Haunted.,2,0,Mr.Doggo_PlaysGames
94,dNU1lJiDaSY,"I was in La Grange,amazing!😋",9,1,Towhid Khan
95,dNU1lJiDaSY,I live in Washington state and me and my boyfriend are considering moving to Texas :),4,5,Victoria Rose
96,dNU1lJiDaSY,I wish one day i can visit this beautiful state✈️☺️,9,2,Michelle Angel
97,dNU1lJiDaSY,I wish if I could go there,0,0,Imran Khan
98,dNU1lJiDaSY,AT&amp;T Stadium is pictured within the Dallas segment. The stadium is not IN Dallas. It’s in Arlington TX.,2,3,Michael Vitale
99,dNU1lJiDaSY,Beautiful place,10,0,Angkor Travelling
100,dNU1lJiDaSY,TEXAS AMAZING I LOVE TEXAS,58,5,Raquel Velasquez
101,dNU1lJiDaSY,<b>I love all of them. xO from Texas</b>  😘,7,3,Sandra Jimgar VLOGS USA
102,dNU1lJiDaSY,im late but i love the riverwalk in san antonio,0,0,II3asyII
103,dNU1lJiDaSY,Corpus deserves a spot up there. Also South Padre Island.,9,1,Jorge Jimenez
104,dNU1lJiDaSY,Wow it is awesome video thanks for the tour.,1,0,Amsalu Abeti
105,dNU1lJiDaSY,Beautiful place love from 🇧🇩,4,1,Shamim Raju
106,dNU1lJiDaSY,"You forgot to talk about the amazing food... big no no. From the Texas BBQ, to the Mexican Tacos, to the Seafood of The Gulf... Texas knows how to Eat and Party. San Antonio is also known for Fiesta and the largest MLK March in the country... a lot of details were left out. This person is more into nature and landscape but Texas also has a island, South Padre Island with beautiful water, plenty of fish ranging from Jelly Fish to Sharks, Texas!",0,0,210jay
107,dNU1lJiDaSY,I been to Houston Galveston and San Antonio. I want to go to El Paso.,1,0,Mason Wright Louisiana and Alabama Fan
108,dNU1lJiDaSY,San Antonio a melhor🥰🥰,5,1,ANNE CUNHA
109,dNU1lJiDaSY,AMAZING  TEXAS  !!!,1,0,Cesar Salvestro
110,dNU1lJiDaSY,"Hi , I am doing fine. Thank you for asking me . I love so much San Antonio. I have worked as an Project Engineer to San Antonio Water System. I did like what I did and I am so proud. Be blessed",5,4,Regina Volosen
111,dNU1lJiDaSY,"Rockwall and Plano, son preciosos.",6,1,Elizabeth Texas
112,dNU1lJiDaSY,Very nice looking beautiful view 😍🙏🎄🎄🎄🙏❤️🇲🇾,1,0,Danni Danni
113,dNU1lJiDaSY,Anyone looking for an authentic Dallas experience should d definitely ride the train. Preferably at night for the full experience that is.,0,0,Matthew Greer
114,dNU1lJiDaSY,"Should have added Hamiliton Pool, and Fort Concho.",0,0,john Magill
115,dNU1lJiDaSY,What is the best city to visit? I&#39;m a foodie and like art TY❤,1,2,LTETobago
