,video_id,video_title,channel_title,subscriber_count,view_count,like_count,comment_count
0,dNU1lJiDaSY,10 Best Places to Visit in Texas - Travel Video,touropia,1160000,1280544,14201,747
1,z8r86ngXi_0,10 BEST Things to Do in Texas,WhenInYourState,4270,114993,1044,65
2,bdKHTIHEaQ0,Top 15 Best Places to Visit in Texas 2023,TRIP XTREME,36900,31989,318,26
3,by1X6vYCxAA,East Texas Road Trip: Texas Travel Series,My Curly Adventures,11200,20093,234,15
4,OyzlwL4wNRs,Visit Texas - The DON'Ts of Visiting Texas,Wolters World,959000,1085355,21217,9668
5,kZ6Xg0-D50g,"How we Spent a Day in Austin, Texas With $100 | Austin on a Budget",DW Travel,176000,24185,905,53
6,wTrFe8_DXvo,Texas Travel Guide 2021 - Best Places to Visit in Texas United States in 2021,Global Village,21000,3718,41,1
7,vGPwDxQzUeY,European's FIRST IMPRESSIONS of TEXAS,Eva zu Beck,1630000,2803482,86872,15037
8,u8RZYX6CICQ,Top things to do in DALLAS - FORT WORTH! (3 day travel guide),Tourist to Local,68100,97538,1399,96
9,XBKSVzGhiRs,TRAVEL GUIDE: Visiting Galveston Texas,Travel OOO,1820,33377,264,66
10,i0NbsEjWSbg,Top 15 things To Do in San Antonio Texas & Nearby Cities | Travel Guide Includes Austin & Gruene TX,Melissa Gasia,10300,10633,167,9
11,spgst-hotlw,10 Best Places to Visit in Texas - Travel Video,Travel The World,1450,108,4,3
12,j8KvkUAXq3A,"TEXAS TRAVEL VLOG! First Time Having Whataburger Mukbang, Exploring Dallas, Top Golf & MORE",Allisa Rose,170000,40355,1434,296
13,GFvQN5FJvU0,"Texas USA y'all. Cities, Sights & People.",CoolVision,661000,2674807,30121,4331
14,oIaAYmKBdRw,Texas Places | Top 10 Best Places To Visit In Texas | Travel Guide,traveloworld,7070,458,12,0
15,lDVHz2R3XAQ,A Piece of Texas: A Travel Documentary,Texas Highways Magazine,1180,19360,239,33
16,gEkJY2aSHxM,Everything is bigger in Texas! // Austin travel vlog,Sanne Vloet,1550000,241845,5923,231
17,TMr7Ty064mM,"Dallas: The Don'ts of Visiting Dallas/Fort Worth, Texas",Wolters World,959000,160499,4505,1054
18,KzX9kJumv9A,Austin Texas. America's Coolest City and Live Music Capital of the World,CoolVision,661000,756865,11209,1214
19,CkY86ZKNHVY,San Antonio Texas Travel Guide,Island Hopper TV,194000,186263,3674,179
20,nvLr6kx6AF4,Get Your Own “Go Big or Go Home” Trip to Texas,Travel Texas,3440,644846,26,0
21,zFYNGgHKcJ4,"20 Top-Rated Tourist Attractions in Dallas, Texas TX, USA | Travel Video | Travel Guide | SKY Travel",Sky Travel,14500,9893,84,0
22,dPoWaP88TYk,El Paso Texas Travel Guide,Island Hopper TV,194000,90181,1579,288
23,WWuRLp2Rvls,Top 10 Destinations in Texas,MojoTravels,364000,9788,470,53
24,A1LRc9Q-3Lo,#texas #family #travel #dailyvlog #sister,Leah Goodrich,138000,129657,12283,37
25,RCnSFHFrMo0,"Austin Travel Guide 2023 - Best Places to Visit In Austin, Texas USA -Top Tourist Attractions",Global Guide,1070,6006,45,1
26,hGvWOixL2WU,Corpus Christi Texas Travel Guide,Island Hopper TV,194000,120550,2147,218
27,ifW6I46cIpk,San Antonio Vacation Travel Guide | Expedia,Expedia,1150000,1529725,5194,330
28,g7tNLhWtNlc,Dallas Must Sees By a Local | Texas Travel,A Girl and Her Passport,7180,1049,96,38
29,RnzutNiSI58,"Living on $10 in El Paso, Texas",Claw Quest,810000,81687,4176,166
30,-P8_cFisFcw,Top 10 places to visit in Houston Texas  - Travel Guide,Airo Budget,1020,34245,291,7
31,d_GO4mcL9Rw,#texas #family #travel #newcaney #crawfish,Leah Goodrich,138000,225010,21142,76
32,5rMi1hY0Agw,Texas Tourist Attractions - 10 Best Places to Visit in Texas,US Historians,15200,2596,33,4
33,riBaN0n44e4,"Best things to do on Austin, TX | Austin Texas Travel guide #austin #texas #travel",Travel Conquest,1510,425,8,0
34,J3OotQaqB_Y,"TEXAS VLOG | exploring Austin, Gruene, Waco (Magnolia), & Dallas!",A L L I S O N,369000,78151,3263,259
35,scjFkDZcPHA,Houston Texas Travel Guide: Best Things To Do in Houston,Island Hopper TV,194000,129238,2347,209
36,QO68lvIVc-0,Austin Texas Travel Guide 4K,Island Hopper TV,194000,81169,1200,126
37,lDfFdztKFWo,Things to do in Port Arthur TX: Texas Travel Series,My Curly Adventures,11200,5499,96,18
38,v5QNEmmHlaE,HOUSTON TRAVEL GUIDE 2022 - BEST PLACES TO VISIT IN HOUSTON TEXAS IN 2022,TRAVEL GUIDE,3280,15241,137,8
39,nWj1jxZjkF4,"THINGS TO KNOW BEFORE YOU GO TO AUSTIN, TEXAS",Creative Travel Guide,35400,19313,140,19
40,lb_VPUN-uec,Texas women traveling hundreds of miles for an abortion,CNBC Television,2380000,6478,93,433
41,b00LfKeDCh8,#travel #texas #family #sister #crawfish #newcaneytx,Leah Goodrich,138000,103868,9529,43
42,8nexsO89KTI,Texas Travel | Real. Texas. Flying at the Mesquite Metro Airport,VisitMesquiteTX,86,35425,5,1
43,j6sNYgRTT6E,TRAVELING ALONE TO TEXAS *before I knew I’d get stuck in Texas for 2 weeks LOL* ✈️,Sandy Diana Bang,354000,45082,2914,112
44,2MN9ZiDK2Q4,Texas Road Trip #texas #travel #work,MexiFils Travels,26800,536,17,0
45,M6Gi3FRopO8,Sovereign Citizen Right To Travel FAIL In Texas,Facts Or Frauds?,7340,15184,907,301
46,k__koKGHuFU,Houston Hidden Gems | Side Trip Sundays Texas Travel Vlog,RV Texas Y'all,41100,5302,382,107
47,5pejwDi2REc,Gay Travel Dallas | Dallas Texas | LGBTQ Travel | 24 Hour GAYover,Ravi Round The World,4760,3495,93,7
48,9ExnV0j4g5Y,"Natural Bridge Caverns - San Antonio, Texas - Travel Thru History",travelthruhistory,3180,127816,418,74
49,Kt7lpqdbNgA,Dallas Vacation Travel Guide | Expedia,Expedia,1150000,1002706,5517,504
50,_c2hkRE52SA,"Fort Worth, Texas Travel Guide: BBQ, Waterfalls, Stockyards & a Rodeo in 24 Hours",Through My Lens,251000,20113,940,78
51,Kt7lpqdbNgA,Dallas Vacation Travel Guide | Expedia,Expedia,1150000,1002706,5517,504
52,nZGAKWI0RWw,"TOP Things to do in SAN ANGELO, TEXAS | Texas Travel Guide",Mr.S Travel Quest,4570,4125,96,34
53,WJBhqDYSRZk,10 SMALLEST Towns in TEXAS,Travel with a Wiseguy,13300,99175,1655,286
54,kPo-T-p-89Q,Things to do in Austin TX (Pt 1): Texas Travel Series,My Curly Adventures,11200,10126,162,8
55,jNGCsuM3mcM,Things to do in Waco TX Part 1: Texas Travel Series,My Curly Adventures,11200,2855,63,2
56,5DSVON51wi4,"Fun Day Trips from Austin, TX // Texas Travel Tips",readysetjetset,38,222,9,0
57,IW23OE84KXw,10 Best RV Parks & Resorts in TEXAS: Find Perfect Vacation Spot! #rvlife #adventure #travel #life,Zooming with the Z's,85,6063,58,1
58,VLIyeDBho_0,"Travel Guide: Dallas, Texas",WatchMojo.com,25000000,339077,1079,283
59,CT_a0VB-E5A,"10 Best Places to Visit in Texas, USA  | Travel Video | SKY Travel",Sky Travel,14500,1195,10,0
60,_5-YYmdnGNo,Our Favorite Texas Campground,Today is Someday,166000,61074,3641,200
61,zZsH2whij64,Dallas Texas Travel Guide 4K,Island Hopper TV,194000,116258,2018,132
62,9vXtx_6Y0Ig,"TEXAS TRAVEL VLOG: pack with me, terrible airport experience, clothing haul & thoughts on reading",Allisa Rose,170000,22449,854,81
63,3OiiVKEFmjs,"Texas: 1 Day in San Antonio - Travel Vlog | San Antonio River Walk, The Alamo, Market Square & MORE!",Adventures of Matt and Nat,37200,30995,839,209
64,2p3l28LVjdw,Things to do in Tyler TX: Texas Travel Series,My Curly Adventures,11200,6864,128,20
65,NbeDkfRMsPA,"1 Day in Austin, TX with a Local",Chris and Sara,129000,54997,1138,124
66,K46Ej2jltQo,"DISCOVERING SAN ANTONIO, TEXAS in 48 HOURS - San Antonio Travel Guide",Tourist to Local,68100,62752,1665,150
67,9J4QfUHlAL0,TRAVEL GUIDE:  Visiting Six Flags Over Texas,Travel OOO,1820,1713,145,13
68,PJicZURIpKY,Things to do in Dallas: Texas Travel Series,My Curly Adventures,11200,118532,2150,187
69,rqWyQ2pZtPM,10 BEST PLACES TO VISIT IN TEXAS #usa  #texas  #travel #2023,Atlantic Travel,1010,86,4,0
70,sUTu2dvp26Y,Why Texas has warned US citizens not to travel to Mexico,Times Radio,331000,3821,117,40
71,ShvBR39qE6E,Travel Guide || Most amazing top 10 things to do in Houston Texas 2021,Camy On The Go,1620,104376,3672,241
72,sicfik1_E0s,Exploring the Texas Pineywoods - Season 10 (2023) Episode 6,Traveling Robert,245000,36063,1584,82
73,vsLe-iJKi6o,MY FIRST TIME IN TEXAS! | A WEEKEND IN WACO TRAVEL VLOG WITH AMBER MASSEY,Maryssa Albert,14800,4848,104,18
74,phyc6V3OYFw,HOUSTON TEXAS | INTERNAL TRAVEL NURSE CONTRACTS |,Katherine Ann,23800,2555,70,27
75,806sjTyVy2M,"What To Do In Austin, Texas? // AUSTIN TRAVEL GUIDE",ON World Travel,56100,39232,793,138
